TASK: Retrieve green vegetable from table, wash it in the sink, put it on the right side counter
subtask=spatial episode=episode_18 success=1.0 steps=11

step01: find a Lettuce                   -> step01_find_a_Lettuce.png
step02: pick up the Lettuce              -> step02_pick_up_the_Lettuce.png
step03: find a Sink                      -> step03_find_a_Sink.png
step04: put down the object in hand      -> step04_put_down_the_object_in_hand.png
step05: find a Faucet                    -> step05_find_a_Faucet.png
step06: turn on the Faucet               -> step06_turn_on_the_Faucet.png
step07: turn off the Faucet              -> step07_turn_off_the_Faucet.png
step08: find a Lettuce                   -> step08_find_a_Lettuce.png
step09: pick up the Lettuce              -> step09_pick_up_the_Lettuce.png
step10: find a CounterTop_2              -> step10_find_a_CounterTop_2.png
step11: put down the object in hand      -> step11_put_down_the_object_in_hand.png
